"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6704","Run empty python code-Python","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","1608","Login with empty credentials","edge","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3476","Navigate back to Queue page from editor-Array","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4076","Navigate to Try Editor-Deque","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2320","Login with invalid username and valid password","chromium","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3062","Navigate to Queue Operations page","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4935","Run invalid python code-Python","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","25073","Navigate to Practice Questions page","firefox","2026-04-09","failed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","6378","Navigate back to Queue page from editor-Queue Operations","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7712","Run valid python code-Python","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4787","Run empty python code-Deque","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2685","Navigate to Queue Operations page","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2218","Login with valid username and invalid password","firefox","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","4788","Run empty python code-Queue Operations","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3236","Navigate to Try Editor-Array","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","5416","Run valid python code-Deque","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","1830","Login with empty credentials","chromium","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3152","Navigate to Implementation of Queue in Python page","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4887","Run empty python code-Array","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","3632","Navigate to Queue Operations page","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2770","Navigate to Implementation using array page","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","7935","Navigate to Try Editor-Deque","firefox","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","2083","Login with valid username and invalid password","edge","2026-04-09","passed","2026-04-09","Login functionality","features\login.feature.spec.js","",""
"","3446","Navigate to Try Editor-Python","chromium","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","23582","Navigate to Practice Questions page","chromium","2026-04-09","failed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
"","4518","Run empty python code-Queue Operations","edge","2026-04-09","passed","2026-04-09","Queue functionality","features\queue.feature.spec.js","",""
